question,answer_text
Bangladesh military officer said reminded writer,working blessing
According passage following mentioned practical tip workaholic,Make lost sleep whenever possible
dog causes car accident gets killed pay damage done car,owner dog
Father Day started,Mother Day
text know tracking stations duty,serve worldwide radio network
best title passage,Tourist beaten death HongKong
know refracting telescope,convenient take along size
When American people introduced,woman decides shake hands man
best title passage,Chinese Childhood Obesity Explosion
earthcluake,look injuries
author may agree,possessing wealth may lead sense pride
time going author shifts watching movies thinks,adult adult
place mentioned volunteering,Zoos
order improve tourism tourist spots,bring culture back tourism
best title passage,Let Run Rain
text mainly,Concerns kids campus safety
passage learn,farm bring writer family enough money
writer attitude towards international games,Nations win international games prove best sports field least
best title passage,Guide Horse Guided Horse
main idea passage,tell albino succeeded
best title passage,Reach Sky
made walking dogs wooded area risky,kids could escape without watched teacher
following probably author belief,predictions need consider people practical use technology
experience arthritis author learned,always remember show love love
following best title passage,Edinburgh City Culture
best title passage,Shenzhou Spacecraft Mission Success
reason digital photography eco friendly,Digital cameras produce pictures good film cameras
following statements true,author father left home twelve
might best title passage,Great Hero
author hopes current situation sports improved,changing attitude players sports field
learn friendship according text,Friends childhood sometimes forgotten
main purpose passage,give people tips visiting Auckland Zoo
author thinks fundraising,helps develop children character
true according passage,students allowed perform Senior Show
teachers identify,want ensure security
author keeps touch Yalies,ask offer help
Generally speaking child likes,biting nails
make sure soil enough basic substances people,provide soil extra supplies
enables kite fly gracefully sky according story,long string blowing wind
Jack volunteer receive training sent work Malawi,preparation program Denmark
learn passage Malala,cares situation home country
people live valleys near rivers,easier people grow plants keep animals
educators opinions cyberschools,brought great convenience students
following TRUE according passage,every student get cushion Mrs Toalson Reading Workshop
TRUE super bus according passage,super bus travel roads
following TRUE according passage,Luo believed Olympic flame helped communication among people
inferred passage,people living Reykiavik seldom get heat coal
Willard wife died came back hometown,got informed Llah husband death
know habits Britain passage,different parts Britain
learn research,mainly surveyed fathers living young kids
main idea passage,Germs may make ill
found Ellen dead Payne,sat beside wife body without knowing
four hotels common,three star ratings
text intended,introduce research program human brain
concluded passage,must take proper attitude towards disabled
author purpose writing passage,call people take active part Relay Life
following true according passage,old man sold something cheap make living
According passage whether place depends,associates recommendation
fancier brands Para refers,expensive bottled water impressive names
old man cut cocoon order,make butterfly come easily
make mistake closer,success
research findings may conclude,patients enjoyed dogs company human visitors
following TRUE,students sports parents
following true according article,Luck come try best everything
mother likes Chinese food,China
Beatles change popular culture,different attitude life
color blue moon,golden
want park car airport long time,Park car P15 P17 take transit bus terminal
infer phenomenon word creation,Social phenomena easily reflected cyber language
purpose passage,offer advice collecting antique clocks
According passage Houdini success prison escapes depends,unusual ability skeleton key
writer wants tell,Howard Schultz started coffee business complete father dream
scientists grow living human brain order,discover human brain really works
Joe,wants sleep
film life real person,Cinderella Man
know hare,got along well animals lot friends
following things Sally Day Four,read books
author purpose writing story,describe rules playing games
following true according passage,Huang badly ill age one
following TRUE according passage,Taxi drivers London work hard helpful
following true,Steffi Graf famous tennis player
From passage seen author,considers welfare reform fundamentally successful
would best title passage,Success easy neglect
hotel gives promise,Baymont Hotel
order get men housework women often,ask housework politely
learn things good study habits,learn thing quickly
last,Mrs King opened door King
passage author mainly talks,benefits drinking hot chocolate
text know new technique powering electronic devices,uses radio waves create power
women colleges decided accept men students,many young women chose study colleges men women
best title story,son first sale
proved skill Sanders,came realize really working countrymen
taking exam advised,first answer questions easier
visitors see costume soldiers marching street,18th September 2016
rabbit want game Tug War,wanted get respect elephant whale
infer HIV difficult treat,HIV clever hides feels danger
theme year celebration centered,relationship sound image nature
text infer,author mother bad impression fiance
According passage know Ministry Agriculture department,governs agriculture
traditional fairytales read parents children,scary young children hear
following true relationship going downhill,distance gradually farther
relationship Alex Figueroa,workmates
basic reason low academic achievement highly intelligent children,much emphasis intelligent
following best title passage,Happiness Honorable Actions
look someone ears right way,look size color shape
beautiful girl wanted ask parents advice,expect examiner would ask question
club win baseball coupon McDonald ice cream,Sparkey Spots Ball
One Sonia friends wanted divorce,husband respect right privacy
learned passage,Christmas Paige favorite festival
coach advised girl quit thought,short realize dream
Flowers stayed near glass houses,free time beginning end school day
According passage solutions carried,roads public transportation system would greatly improved
main idea passage,visit opens new chapter China ties
Mother trees extremely important,pass nutrition young trees
difference new licenses compared given citizens,used travel airplane enter federal building
inferred passage,relationship Raffaello hurt Anne
two pens,pencil case
Alarmed situation government encourages,single sex classes educational schools
writer think beach volleyball,exciting interesting sport
lesson draw story,make best
writer learn Christmas,Helping need makes feel good
learn passage,Tommy greatly influenced parents
one best title passage,Facts Hints Game Angry Birds
following true according passage,chewing stick called sothio means clean east Africa
inferred passage,people careful receiving mails
following reason people support law,Animals circuses live life naturally
researchers think still employed deserve sympathy,constantly worry losing job
According say following TRUE,Ted spends lot time watching favorite sport
best title passage may,Eric 102 Leaves Britain Wife
learn Ellie passage,parents
following statements TRUE,One may get confused rather complex process information
passage infer,writer loves stepmom much
best title passage,Dive Deepest Place Earth
According author imbalance biological potential environ mental resistance resulted,population explosion
following right,Sam Kumar plan make robot
inferred passage World War Two,woman allowed war front Margaret Bourke White
following TRUE,Darius Turner regards Obama model
would best title text,Boys Cleverer Girls
find article,blogger handle SKIPHOPZ source false news
purpose author give example cartoon Para,inform people bad effects phubbing
situation Hong Kong facing passage,Fewer tourists visiting Hong Kong
farmer decide bury mule well,want see mule suffer well
following service offered information booth volunteers,Emergency First aid
passage tells,viruses ever done great harm human beings
following statements tourist submarines RIGHT,People enjoy tourist submarines waters around Okinawa
kid feels ignored family author suggests,talk parents
made writer change summer,One Mary paintings
main idea passage,OPEC increase oil production make shortfall caused Iraq
organization Equal Exchange aims,offer support farmers
someone says come coffee,asked chat
best title passage would,Homeschooling America
good crop strawberries mainly depends,careful watering feeding
Larry friend asked end know,friend believe Larry said
passage,Halloween Halloween games
author view tiger shoots seen,Modern hunters lack courage hunt face face
author believes awards received,necessarily reflect real self
best title text,Qomolangma Become Huge Mess
conclude passage,writer like either mail style shortcomings
According passage following statements TRUE,find people sharing interests
following could best title passage,Fun children
Treasure Island,adventures Jim Hawkins
subject discussed text,process reaching decisions
real power words come,association
planning explore ocean depths attend lessons,Monday Friday
One physical assets liabilities count much managerial career paral interpretated,whether one looks good bad affect much one managerial career
main purpose passage,make know make news release
following attractions may interest want study military army history Mexico City,Chapultepec Castle
would best title passage,Alaska Polar Bears Losing Fur
According Leo Buscaglia four year old boy,showed concern old man way
following best summarizes main idea passage,stand lift reflects social status
author takes Marpesia berania example order,introduce butterflies sleeping groups escape danger
walk expensive meat,maybe buy
conducting study scientists found,climate change blame lost civilization
activity festival,make Maori food
word hitchhiking means,going long way getting free rides people car
passage mainly concerned,aging skin environmental factors
learn text,students able attend lessons trip
following best states main idea passage,Philosophy universal appeal concerns everybody nature
following statements TRUE according passage,King could put people let wanted
author purpose writing passage,show taste preference highly subjective
map showing earthquake belts tell people,earthquakes may happen
saying Whitney could better today viewer means,Lin Yuqun sings well Whitney
main purpose text,give brief introduction thAcademy Award nominees
inferred text,homeless man thought shocked writer
people,viewers completely passive
following help solve dropout problem schools,Keeping school day
probably read article,report volunteer work
little seed show right person,king knew nothing could grow
following sentences might Hoogewerf agree,Chinese companies need work hard improve finance management public relations
result popularity Universal Studios Hollywood,parks opened
following True according passage,government refused admit decrease
following true,businessman knew answer riddle
Lucy wanted eat,bread butter jam
270 000 signatures collected,put healthy food schools
Nowadays major health risk people face,Eating much fat
following might proper title passage,Safety Paintball Meets Eyeball
learn passage,hard author quit
following TRUE according passage,Heat cold damage corals ways
would best title text,Special Customs Colombia
secret language,certain sound certain thing
author purpose writing passage,present change views dirt
probable period time Discovery aboard International Space Station,Nine days
hotel parking free,Beach Plaza Hotel
saying fuel spark useless the author means,without carbohydrates protein fat vitamins minerals use
people office suddenly started working,boss arrive
student take make test,sick take test
would probably happen grandmother read note,would greatly moved
Two kinds roads needed future,big cars run faster little cars run slower
text mainly,development television
best title passage,make effective complaint
infer passage,mountain biking requires riding common bikes
According passage previous studies shown,drinking coffee risk
following statements zoos would writer agree,Zoos provide caring living conditions animals
fact Tom friend also,witness
Women Alauddin Valley,perhaps know much outside world
eyes hands safe,often take rest working
According passage Operation Smile,offers operation unfortunate kids free charge
author decide help man,show girls importance helping others
main idea passage,believe get know easily
best title passage,Good Reader Reading Speed
result first advertisement,man wasted money advertising
learn studies Carl Simonton,treatment patient treating body mind necessary
illustrators Illustrators Exhibition,state category artwork clearly
author expect show Jeff story,One realize wrong bad deeds
following titles best suits text,flush toilet every time
studies show,different personality Chinese Americans
coming years man beyond Fourth Ring Road goes work downtown Beijing encouraged,take buses subways
following might author opinion communication,listen
learn passage green roofs,promising future urban areas
moving scene,another old man also helped old man
learn passage,amount sugar rats ate larger ordinary adult might eat day
happened author daughter according beginning passage,fell bike broke arm
main idea Shanghai World Expo,Better City Better Life
writer took class community college mainly,wanted save money
Tom Parker,Elvis manager
inferred letter,Wikipedia aims give free access sum human knowledge
text mainly,Reasons following others blindly
passage mainly tells,people many wrong beliefs eyes sight
main idea passage,brain controls body
know passage,lichens used better understand environment
passage author implies,men always stronger faster women
author often felt embarrassed,grandma spoke Vietnamese loudly public
writer opinion treatment Indians received YOU government,believed government treated Indians unjustly
Stuart Chapman believes,climate change massive extinction newly discovered species
passage mainly,charities
England people think,right color bride wear white
Christine Rumayor uses Lexy medical tool mainly,Lexy make patients feel relaxed
award winning beach house quite strong,strengthened steel rods
text mainly tells,history Alcatraz Island prison
inferred passage,fewer organic farms demand organic food goes
result research carried social scientists show,attractive people generally advantage
passage mainly talks,school bus safety rules
author take history classical music class,wanted get points course
best choice complete Roger idea Country Bears part Disneyland nearly years,sad Bears leaving
following statements true,database described genetic makeup wheat
people jokes author mostly signs respect,think great blind editor
information passage concluded United States,felt building canal Panama worth risk ruining relations Columbia
passwords credit cards properly kept,might suffer great losses
makes birthday Shakespeare dramatic year,Flower portrait found fake
Rania thinks,world today countries depend
finally happen Hiroyuki get,slide onto floor
writer mainly talks,Gloria Barron Prize story one winners
park offered people EXCEPT,football
offered participants experiment,information different types cars
main idea text,blanket tells lot Navajo culture
following statements TRUE according text,Dogs exposed stimulation repetitively flight school
Jackson wanted sell house,want live house longer
area baby elephant move around decided,length rope
danger air crashes grows every year,airliners getting larger air traffic becoming heavier
could inferred passage,author would hopefully get bus
advantage Europa Pages,start sending mails
true,lot sports time makes healthy
Washington Roebling forced,give directions workers flat nearby
could best title passage,Competition Impacts Gas Prices
learned passage,author like learning Vietnamese young
finished highway used,taking travelers tour Antarctic
main idea passage,Ordinary people make difference people lives
passage learn,technology vertical farming already mastered
author father stayed home,boss stopped employing
story,lucky number
know Coronary Artery Surgery Study,Quitting smoking always good effect people health
following statements true according passage,270 people countries participated study
learned Passage,Friedman studying Great Barrier Reef
author wrote passage,Chinese mothers
significance new study according article,might inspire aircraft companies think ways improve efficiency
According Kyle Fredin said infer,strange storm hit Colorado beginning June
According passage following statements true,Chai started making documentary gave birth daughter
main idea passage,Opera companies trying keep opera alive
According Expert Joan tell friends feeling,family experience stops
Diamond chose study bridge players research,game stimulates part brain something immune system
best title article,perfect time something
made scientists think loneliness might make body worse fighting diseases,studies showing people suffering loneliness fell ill died easily
inferred text,year old boy drive alone
Dual language programs New York aim,help students learn better
purpose releasing insects British countryside,kill pests feeding crops
author angry drivers,thought drove slowly
Allie reads author,suggestion ease homesickness children
following TRUE according passage,Lohan released two albums since 2005
passage know stream_in end,crossed desert
comes resume writing best,take cultural factors consideration
best title passage,School Dogs
think writer writes passage,encourage people make trip toParis
following true,Many people may never become great though good memory
Haley Hayley saw injured seal wrapped blanket,decided help animals
Scientists made predictions EXCEPT,resources oceans never used
passage tell,smile others
reach conclusion passage,writer wife kind person
learn passage mirror neurons,relate human behavior communication
UNESCO helps States Parties safeguard World Heritage properties,providing technical assistance professional training
phrase extreme weather mean story,Bad weather like floods drought landslides happen countries
Rita problem story,afraid try something new
best title passage,Expressions stories
probably show interest Petit Appetit Cookbook,lady month old baby
following TRUE according passage,Huang Xiaoyu thinks gentleman class
main purpose passage,entertain readers story mystery
policeman runs young man,thinks bad man
following Doctor Ysisuf experiment Polycap India True,Polycap proved basically safe effective
Qing government send boys America,wanted help country
mainly talked text,Expressions word mouth
writer feel even tired arrived Paris,flight long baby cried screamed whole trip
education,created young people adults
According passage playing music restaurants,make customers feel good
conclude passage,Many people wash hands properly
According Paragraph coughing heart attack helps,keep blood circulating
purpose passage,inform people findings research
author mention Kreditkassen Bank Karl Johans Gate,suggest people could ridiculous stubborn
phrase watch figure sentence tempt chocolate watching figure means,try get fat
infer comedians according text,Comedians often use sad experience
Gordon pleased daughter,thought want give life guard much money
childhood author break away liking looks,turned attention studies
best title passage,Choosing Way Live
Someone good memory,make good use memory
Mary told Mrs Herman,cross street light green
know Andre Agassi Charitable Foundation,disadvantaged kids get help
using Charles Darwin example author wants prove,eldest children less likely try something new
Annette Siefert feels guilty mainly,water use swimming pool
following true Randy Grim,decided rescue stray dogs young
Wang,Wang Fang
could LongPen used future,improve credit card security
following enables ostriches escape danger time,good eyesight hearing
new concept robotics,Improvement intelligence
According passage rising gas bills people may turn heating,save money
best title passage would,Perfect Christmas Tree
,walking chair
following TRUE according passage,Yao Ming Olympic torchbearer
writer say dining table would expensive November 30th,thought John would certainly add cost dining table
main idea passage,use cell phones remote controls future
main idea letter,Tomatina fun popular festival Spain
following best title text,Grandmother Cookie Jar
story peacock tortoise learn,friend need friend indeed
writer want Internet place,pressure people age
main idea passage,College education tests guides life desires
Molly sound pleased husband comment,thought meant sofa
Mona Island,explore caves scuba dive
text infer,whatever difficulties Donald meets Jeremie help
best title passage,Street Dancing Clothing
statement correct park,lot Baobab trees
learn current lecture system,far beneficial academically inexperienced students
writer wants tell,teachers help children pay attention printed words
purpose passage,show present situation young people living parents
writer want tell passage,good parents still chance
following statements mentioned passage,easier find needs find others
According passage Fern father thought,troubled raising weak pig
author learn experience probably,Put oneself others shoes
end passage author proposes work,effects corpus callosum
Peter idea message bottle,thought might lose life voyage
main purpose text tell parents,help teenager grow
passage mainly,science fiction story
Harris Interactive made survey find,workers work drinks
happened first,Guadalupe left school fourth grade
true money,helps people meet basic needs
KidZania unique,offers kids chances learn working
Mom gave son point contracts iphone order,teach sense responsibility
author helped Ben offering,suggestion cheer
writer tends,miss days hard earn
auther main purpose writing passage,warn readers possible dangers spam
article want tell,Life always beautiful although sometimes terrible
RIGHT way feed pet,Giving cat cooked fish
learn Ugly Little Boy,Enemies live peace beliefs
Hadrian Wall Conwy Town Walls common,towers walls
main topic passage,telegraph network contributed expansion railroads
teacher gave students stayed classroom,believed
Whose music help maths homework according study,music Mozart
many festivals,share many reviews performances online friends South Africa
main reason author lent little man money,trust little man
According passage Blomberg,researcher
passage learn,Tennis charge LTA
following right,girls made one goal first half
happens girls named Hazel according passage,Others often make fun
woman dog get bus,rainy day
sun,bright gives strong light
English Corner place,people practice speaking English
writer boyfriend laughed,think could run marathon
learn passage,One work hard also use head
would best title text,media United States
passage writer tries,show important getting neighbors
passage mainly tell,Advertising music help sell products
learn Herbert Hoover,one American presidents
feel comfortable height,get older
best title passage,Newspapers Future Likely Computers
following statements true,Australian supermarkets begun cutting use plastic bags
passage learn,judge things people appearance
speaker caught,black fighting whites
Cellphones bad kids,kids reduce personal communication
following true,Ting grandmother looked father hospital
wise Internet shopper may,try clothes nearest store buy online
Eric Peterson opinion issue,Schools try best help students
way Got Know different books,offers readers ongoing context
writer passage wants tell that,advertisements benefit busy people many ways
would best title text,Cycle training lessons adults
Indiana schools children,choose learn cursive writing
passage know,love sometimes may make someone act mad
following statements TRUE according passage,couple set new home Nelson
saying Lilac blooming could serve alarm bell Jennifer meant,blooming lilacs could predict happening wildfires
enjoy freedom backward make phone call without missing anything listening turn,Tuneln Radio
story woman show,attitude towards life plays important role people life
impressed author trip,Pulling faces eyes
new research beneficial,helps find better treatments mental illnesses
Homes future,different one another
learn story Tom,loves mother much
author think British men crying,brave face physical pain cry necessary facing problems
seems ridiculous writer,expensive watches unnecessary functions still sell
best title passage,Pants Shorten
According passage following statements TURE,Several great lakes existed upper parts Colorado River
main idea story,Writers like Yoshiko Uchida look richness lives material
visitors restaurant,restaurant difficult find
inferred passage,cat killed without pain
following TRUE,writer left Chiang Mai Chiang Rai bus
makes demographers begin wonder standard normal ageing,People growing healthier
unhappy people insist keeping habit author suggests people,communication
author say many please mother,eager basket
following best title passage,Aging problem China
practice giving girls names hurricanes started,author
following part new printing rule,Employees receive warning automatically let
America men usually,walk behind women
According writer artists love street art,want express feelings freely
students took part One Yuan Metropolis Survival,help poor schools Tibet
writer wants tell parents,family members help overweight children lot
information Rose Bengal wrong EXCEPT,effective treating skin cancer
following learn text,hot towel offered ordinary restaurants Japan
Children North America,often sports activities school
author felt uncomfortable dinners,disliked things brought live table
chat monitor mentioned Paragraph probably,person web site give safe online advice
passage mainly,Healthy lifestyle
infer text developing nations,prepare population aging
passage mainly,leads children bossy behavior
kind movies make people cry frightened,Scary movies
passage learn,Blaine Ray method gets students grasp correct grammar unconsciously
According text know,power class always correspond
According passage following author imply,Information obtained unwillingly Internet permitted court
main idea text,Indonesians use smartphones
would best title passage,Make time attend family reunion
inferred passage,Yang Yang father twins
main idea passage,hero Sun Wukong
writer want tell,Everyone hide love deeply
translating writer repeated names characters,make translation clearer Turkish
infer text,space trip still preparation
Abraham Lincoln wrote letter Johnston mainly,decline request motivate
following TRUE passage,Women allowed show beauty China
passage learn,breathable air removed outlet eventually back body water
purpose text,introduce British festival
passage Latin America,want cut relationship somebody give cutlery
following TRUE according passage,China normal practice abstain rather veto
following true according article,Getting first place exam also considered cool
smile author face morning,feels sense achievement
inferred passage,Underground Railroad way freedom
learned text,kids many electronic devices choose
caused author amazed first,sight wood eating leaf
following best title passage,Data Servers Could Heat Private Homes
researchers found babies learn language mainly,hearing closely watching others speak
deserts still threaten world way,increasing unbelievable speed
story see,boy good thinking
People use words told hurt like,second toy
following would best title passage,Man Found Alive Stuck Days Snow
Ting,chores weekends
good news lady,one seat first class
passage mainly,eating style
might best title passage,Time travel wins fans
passage know,Finnish students make better use Internet libraries
app used,Warn drivers potholes
author learn study advanced group,Irish teacher suitable
purpose passage,attract people tours
Brent Scott others experiments bus drivers suggest,thinking positive way helps work efficiency
come first want shop online,Safe Internet
According Paul Veugelers students healthy diet,tend perform better school work
makes many choose junk food according author,Eating habits
Different quotes placed bottles,inspire others think positively
best title passage likely,Scientists Track Happiness Cellphones
travel car,make timetable
know Vienna past,Austria developed around city
Cyberschools getting popular,students work speed
people cloning humans think,humans control future human race
following true according passage,Ugly people unfairly treated society
writer advise people,cook home
following true according passage,stone bridge longer existence
sweet pea plant finds something hold onto,fiber cells side stem shrink forcing stem bend coil
best title passage,Net speak Harming English Language
school bus must,way days
typical behavior seniors,celebrate fourth year jumping lake
following TRUE,man moved family opened business
passage mainly,Dolphins humans similar ways
important senior school students,reading writing
life lesson kids learn skateboarding,succeed life give
butterflies ask help,Green Tree Rose
According writer many Chinese people celebrate Christmas,reason
According passage following statements true,union family unit plays important role harmonious society
Hayes Bautista opinion paradox,intends trust cultural factor
decibel,unit measures sound
purpose passage,tell give life
writer attitude towards museums,suggests going museums
writer suggest students recite text,Reciting texts improve ability applying English
know according author,Everyone make difference resisting negative peer pressure
driving Britain holidays probably interested,Top Gear Guide Britain
infer Bluetooth according scientists,possibly outbreak cell phone viruses
writer feels sad people,understand friendship
following Best title text,Flying Makes Better Doctor
infer passage reason waiters waitresses wear mariner uniforms,want make people feel sea
main problems American newspapers,people read news Web
following true,Women clowns popular people
wrote new message,publicist
important work birdwatcher,identify birds
surprises people,stars get money advertising sports
following true,girl opponent last match thought little finally lost game
kind person Amanda father,man misses past
following true according passage,Little Princess Trust name middle school
avoid serious water shortage following important,Try find cheaper way get salt sea water
following TRUE English movement,launched English threatened
Two groups sheep put together,one group
sundial works,marking shadow cast moving sun
According author Charlie Chaplin,great influence modern films
passage gives impression,desert plants shaped way designed somebody purpose
According passage following statements TRUE,Chen become wealth rise China economy
true human future,hairless hair longer useful
press Ctrl,get another
learn author father,seldom talked family
Tom prefers choose culture holiday may,visit many historical sites
Many people help putting weight holidays,control
According Kaplan idea,nostalgia helpful
travelling taxi,expensive taxi take people place want
Wendy wants audition role Nellie Lovett needs,able make people laugh
following statements true,three doctors Poe family
five average students became top students mainly,change teachers attitude
special Black Friday,wonderful time shopping
real solution gas shortage problem,make gas saving cars
author father advised,earn money get wants
following may help gun problem according Connie Faille,close relationships people
following true happiness classes,Students made happy
best title passage,Story Merci Train
food restaurant,healthy
Chinese tests American Presidential Fitness tests similar,Students get scores
reading story know film director,kind gave Larry try
story tries tell,tell man rich clothes
following TRUE according passage,wave destroys sandcastle
following statements true according passage,important monitor baby weight height gain new parents
following TRUE,student aged get extra money PS615 year
author say sorry father hospital,rude father morning
According story Fleming,accept money helping others
following best title passage,legend Old West
passage know writer,likes two English students
two main things sun gives,Heat eggs
author opinion today children,rarely seen enjoying outdoors
author shows development English language India many fields EXCEPT,government
students behaved badly writer classes,really understand
According experts opinions,Cohen thinking correct
want watch wild life displays,Druridge Bay Northumberland
best title passage would,Easy Language Learning
friend live end neighborhood dogs may probably,share similar skin ecosystem
passage probably taken,web advertisement
writing passage writer seems,advise people become managers
decision stop giving students homework depends upon,studies link homework academic success
Mrs White see doctor,wanted thinner
beginning 2009 author,felt blessed grateful second chance life
author think team games,acceptable different children
According passage Keep fork message may mean,discouraged Everything better
following descriptions best reflects disappointed feeling Baron family,sun set bats began fly evening light
best title passage,Teleshopping Europe
order celebrate Deepavali,
learn text new type pineapple,little soft outside sweet inside
White like girl,elder sister loved
example chimpanzees shows,animals may culture like
learn Independent Project,little involvement teachers
following true vitamin,Vitamin helps body fight cancer
City mouse think Country mouse life good,food house bad
people friends would live longer,
fifteen want take part competition,study course John Ambulance Training Officer
benefits nanotechnology bring except,help take control doomsday
dinner parents hoped,bread porridge children
following learn text,Winning Pulitzer Prize Literature important Brooks
best title passage,Greatest Happiness
would best title passage,Lost Found
following true according passage,College students tuition fees risen greatly
passage wants tell,reason young kill lies two main kinds
prefix st1 United States almost half high school graduates,colleges universities
inferred school,students study harmonious environment
graduated,began write poems age
housewife worked outside would,lose content enjoying
following statements true according passage,holiday popular since birth
trouble little girl family,Bother
Jean thought David special,made happy
quite young Blackburn,already business brain
believe StarCraft class opened university,think students allowed play computer games school
best title article,Kwashiorkor Improper Eating Habits
best title could,Create Class Website
function tears according Bylsma,helps arouse attention
writer advice taking taxi Thailand,take taxi going road
event planned,mark Sydney food festival
passage learn,experiments inside Tiangong would extremely difficult conduct Earth
Mabel parents agree marry daughter Jim,young man rich enough
According director opinion film popular among Chinese audience,Chinese audience long cherish superhero
many airplane seats put bus originally,seats
author opinion coffee,blessing afford
holiday Jersey would amusement,Helier
inferred passage,sending messages phone attractive teenagers youths
off hand speech,speech without preparation
dogs recognize,use smell recognize
writer,girl doll
main purpose article,tell students study well
writer wants tell,regretful tears
Byron Gong write letter,asks permission website use material teaching
purpose vehicle restriction,reduce emissions caused vehicles
According passage would make known scholarship Harvard,Telling parents posting blog
title painting based,style house
author suggests schools troubled teens,good choice desperate parents
join NMAI enjoy following benefits except,free meal Zagat rated Mitsitam Native Foods Cafe
purpose writing passage,introduce advanced education system
makes people change eating habit back old tradition Britain,Worrying health family problems
According passage author may agree,Drinking green tea properly help keep healthy
main idea passage,Book pages could provide safe drinking water
passage mainly,roads future
Visitors praise English police,polite helpful
little Mark Twain move live Hannibal,father brought
following may one reasons popularity Super Bowl,performances halftime show appealing viewers
passage lead believe one writes,use either left hand right hand
learn Caterpillar music,theme class changes every week
Kara often trouble breathing,born incomplete heart
According passage risk exposing personal information may possibly caused,practice using public WiFi
following statements true according passage,Fatimah girl made past fifth grade school
like children could offer happy family homeless child may contact,Littleton Children Home
Children like rainbows,beautiful
best title,Early life Shakespeare
author purpose writing passage,tell people apologize sincerely
text mainly tell,One disadvantages may prove advantages
learn Keats according passage,made film Strange Skies
writer used read email,much mail
might topic new song,family one misses
Researchers asked group adult volunteers complete three weeks frequent endurance training order,confirm findings also relevant people
author advises following EXCEPT,hold bitterness inside
word passage refers,permanent tooth
author wrote passage,advise readers value science including evolution theory
age Sanders,helped clean medicine bottles hospital
Parents come Institute want,develop abilities help children
inferred passage,Many ordinary people take hearing granted lose
following true tango,often danced two male beginning
Biomass considered sort natural Battery,stores energy sun
hotel best choice someone extremely tall,Bridges House Hotel
main idea passage,Talking someone helps solve problems
calling,get things ready communication
passage learn,person educational background included resume
passage mainly,culture influenced Shakespeare influenced culture
following true hybrid courses,effective education
test first French class,know French level course
following FALSE,Whenever hunger strikes reach junk snack
Mrs Smith teach reading,read aloud students could remember stories
want make roads safer,everybody must careful obey traffic rules
following best title passage,Talk help better
Lady Thatcher get nickname Iron Lady,took strong measures deal crisis
According Zogby International cigarettes,popular among people want quit smoking
book Education Millionaires Michael Ellsberg,discusses practical value college degrees
column newspaper could find text,Sports hobbies
author holds,anxiety lead changes better
author mentions masses Milky Way Andromeda mainly,show studying dark matter could help answer scientific questions
living door angry,naughty children always kicked
careful scratch furniture probably means careful,damage surface
best title passage,Tell Joe cared
old couple get divorced forty years,children still young
writer,sang high praise Crystal Palace
store managers often last hear complaints,Shoppers would rather tell unhappy experiences people around
main idea passage,try accept things instead complaining
would best title passage,Device gives new meaning idea power walking
author blow horn,habit driving along special route
best way minimize negative influence computer viruses may bring,educate computer users
telephone offices put sweat odor unpaid bills,sweat odor reminder terrifying experience
Mary Norton husband leave home,want take trouble move
Compared taxi drivers Uber drivers,enjoy freedom choices
following statements true according passage,far three people died H7N9 bird flu
children Halloween parties,tell stories ghosts
young girl crying,giant given impossible job
following true song One,Three singers perform gether opening ceremony 2014 World Cup
cow wastes collected digester Blue Farm,job done machine
best title passage,good listener
way used promote school bus safety,encourages use bigger school buses rural areas
passage seen placebo effect patient,dressed white
World Health Organization said suggested,disease spreading fast Africa
passage learn caffeine,help people think clearly
know bio inks,necessities bio printing
would best title passage,One Festival
many times Sandy friends pull ear year,twenty one times
salesgirl say Mrs White,wants Mrs White buy dress
know Jennifer Schuble,keeps exercising every day
expect official would end,Refuse let
may make cable stay place moon,pull gravity earth
article focused topic,important experiments education
Mitchell stop working reporter according passage,injured
infer passage,Jefferson good riding horse
According passage learned,car producers pay attention car identity
Parents nuclear families sometimes feel loss,always help family members child raising
following statements WRONG according passage,Handel quit job learn opera Italy
favorite things sold graduation sales,Secondhand textbooks class notes
true Kays,family business
true new technology,incomparable result perfect development necessary rests
author felt hurt mainly,failed thing thought easy
may first step taken hijacked plane landed,kept plane away planes
Esophageal cancer one deadliest cancers,hard cure developed
following true,Female penguins take care eggs
following true,Street food costs much tasty
text mainly,problems diver faces deep sea
visitors Bournemouth,sea sports
Hong Kong Disneyland built,Hong Kong government Walt Disney
following statements true according passage,People always satisfied part life
girls answer teacher question,may give different answer
students ride second hand bicycles mainly,bicycles convenient cheap
tension teenagers families caused fact,parents teenagers pay attention feeling much
possible future benefit cell based gadget people,detect disease earliest point
McKinney Act mentioned passage order show,educational problems homeless children recognized
story mainly talk,successful planned language Esperanto
people different bank cards,Get money
scientists determine origins ancient dogs found Alaska,examine animals DNA
writer thinks,people feel existence Christmas spirit anyhow
author mainly wants tell,Americans pay less income tax many others
According Aubermann public bookshelves,going well since birth
schoolbags things study,made chips
story mainly writer,survived island
following reflects author opinion,Let nation judge facts wind power
microblog different traditional blog,microblog smaller contents traditional blog actual total file size
three letters present viewpoints,real source road danger
old hunter know tiger man,saw tiger run two feet
following WRONG,want learn foreign language choose useful one
best title passage,Psychology Change
following statements true,Using hands free phone less likely accidents
learn passage highquality friendship probably results,positive parental involvement social skills
would best title passage,Super level Watches
